moment,se
CNN_pct_0005,0.000757093139438116
CNN_pct_001,0.000725484682228565
CNN_pct_01,0.000434204124064271
CNN_pct_1,0.000115837489227807
FNC_pct_0005,0.000760861838535999
FNC_pct_001,0.00073978590530036
FNC_pct_01,0.000581483278175794
FNC_pct_1,0.000323766565724558
MSN_pct_0005,0.000666752886711739
MSN_pct_001,0.00061098155497534
MSN_pct_01,0.000353008837090115
MSN_pct_1,0.000184596535818
CNN_25_rprop,0.00361512273476
CNN_50_rprop,0.00361512273476
CNN_75_rprop,0.00361512273476
FNC_25_rprop,0.00680240665516092
FNC_50_rprop,0.00680240665516092
FNC_75_rprop,0.00680240665516092
MSN_25_rprop,0.00523794020447233
MSN_50_rprop,0.00523794020447233
MSN_75_rprop,0.00523794020447233
left_CNN,0.0161384806359646
left_FNC,0.0415492406865449
left_MSN,0.0338567455102709
center_CNN,0.015139167619451
center_FNC,0.043700430152822
center_MSN,0.0266233569528846
right_CNN,0.0147725370608873
right_FNC,0.0552654095496436
right_MSN,0.022478544960406
CNN_FNC_pct_0005,0.000633319194298198
CNN_FNC_pct_001,0.000567481731612687
CNN_FNC_pct_01,0.000239645866642181
CNN_MSN_pct_0005,0.000578056780238404
CNN_MSN_pct_001,0.000508627162165384
CNN_MSN_pct_01,0.000234367828488062
FNC_MSN_pct_0005,0.000531712948741037
FNC_MSN_pct_001,0.000451663317156687
FNC_MSN_pct_01,0.000143763822754438
CNN_block_1,0.000203033997356863
FNC_block_1,0.000406353033508472
MSNBC_block_1,0.000258672244596792
CNN_block_2,0.00020746986283916
FNC_block_2,0.000428034069495688
MSNBC_block_2,0.000268483257181172
CNN_block_3,0.000226205137222419
FNC_block_3,0.000427609626006992
MSNBC_block_3,0.000254677260312338
CNN_block_4,0.000232733819863096
FNC_block_4,0.000439067400075223
MSNBC_block_4,0.000260404844252608
CNN_block_5,0.00021520141316101
FNC_block_5,0.000391543927907507
MSNBC_block_5,0.000277104489695222
CNN_block_6,0.000185993090197259
FNC_block_6,0.000383956515162388
MSNBC_block_6,0.000289168372244632
CNN_block_7,0.000184631141370195
FNC_block_7,0.000414341329386088
MSNBC_block_7,0.000279872545963193
CNN_block_8,0.000174762400064948
FNC_block_8,0.000406523939081074
MSNBC_block_8,0.000300255791435447
CNN_block_9,0.000193074027344508
FNC_block_9,0.000390189574030021
MSNBC_block_9,0.000288184010415575
CNN_block_10,0.000189030641563388
FNC_block_10,0.000378893276001647
MSNBC_block_10,0.000281954323090227
CNN_block_11,0.000199070387287259
FNC_block_11,0.000391177687930435
MSNBC_block_11,0.00028519096349006
CNN_block_12,0.000189257792449179
FNC_block_12,0.000396432242834277
MSNBC_block_12,0.000289363694216137
CNN_block_13,0.000213804195024855
FNC_block_13,0.000466540544232564
MSNBC_block_13,0.000308412238761014
CNN_block_14,0.000220266577707983
FNC_block_14,0.000469150019081699
MSNBC_block_14,0.000290363730767232
CNN_block_15,0.00021897933284035
FNC_block_15,0.00047307633421565
MSNBC_block_15,0.00027640502929169
CNN_block_16,0.000221372291492287
FNC_block_16,0.000472365510330268
MSNBC_block_16,0.000287503353074844
CNN_block_17,0.000222775557564101
FNC_block_17,0.000443920320816069
MSNBC_block_17,0.000303496033311513
CNN_block_18,0.000219908629833787
FNC_block_18,0.000422868800626961
MSNBC_block_18,0.00029838718877272
CNN_block_19,0.000209823427529236
FNC_block_19,0.000421959726640791
MSNBC_block_19,0.000280492071080819
CNN_block_20,0.000202685458486831
FNC_block_20,0.000396756946127488
MSNBC_block_20,0.000274828401779787
CNN_block_21,0.000193356732259608
FNC_block_21,0.000388129558354188
MSNBC_block_21,0.000285880669973536
CNN_block_22,0.000174548568668523
FNC_block_22,0.000351998032896692
MSNBC_block_22,0.000240712980076863
CNN_block_23,0.000170930799242593
FNC_block_23,0.00033570269828703
MSNBC_block_23,0.000231025109759332
CNN_block_24,0.000174823044590895
FNC_block_24,0.000328661232412614
MSNBC_block_24,0.000221240435434634
CNN_block_25,0.000208624214574991
FNC_block_25,0.000421763677778567
MSNBC_block_25,0.000276211116228024
CNN_block_26,0.000204426598857634
