par,value
topic_lambda:foreign_policy,0.25
topic_lambda:economy,0.49
topic_lambda:crime,0.25
topic_lambda:horse_race,0.01
topic_rho:foreign_policy,0.95
topic_rho:economy,0.95
topic_rho:crime,0.51
topic_rho:horse_race,0.51
topic_leisure:foreign_policy,5
topic_leisure:economy,10
topic_leisure:crime,100
topic_leisure:horse_race,10
topic_mu:foreign_policy,0.57
topic_mu:economy,0.57
topic_mu:crime,0.57
topic_mu:horse_race,0.57
channel_q_D:cnn,0.9
channel_q_D:fnc,0.85
channel_q_D:msnbc,0.95
channel_q_R:cnn,0.9
channel_q_R:fnc,0.99
channel_q_R:msnbc,0.85
channel_q_0:cnn,0.5
channel_q_0:fnc,0.9
channel_q_0:msnbc,0.3
beta:vote,15
beta:slant,-20
beta:show:cnn,-7.1
beta:show:fnc,-7.1
beta:show:msnbc,-7.8
beta:channel_mu:cnn,-0.35
beta:channel_mu:fnc,-1
beta:channel_mu:msnbc,-2
beta:channel_sigma:cnn,0.83
beta:channel_sigma:fnc,2
beta:channel_sigma:msnbc,2
zero:news,0.66
pr_news_001_t01,0.038166798391931
pr_news_001_t02,0.207379090984032
pr_news_001_t03,0.154151411455032
pr_news_001_t04,0.422470047132063
pr_news_002_t01,0.055241245273325
pr_news_002_t02,0.203464349696479
pr_news_002_t03,0.087392802378739
pr_news_002_t04,0.501213838860577
pr_news_003_t01,0.11921472581306
pr_news_003_t02,0.213362837055045
pr_news_003_t03,0.140996716840592
pr_news_003_t04,0.359797518501989
pr_news_004_t01,0.124232961110607
pr_news_004_t02,0.225125636558018
pr_news_004_t03,0.214743003705953
pr_news_004_t04,0.315453576636876
pr_news_005_t01,0.117743785322513
pr_news_005_t02,0.287542980347845
pr_news_005_t03,0.164599947526163
pr_news_005_t04,0.259592328893449
pr_news_006_t01,0.087232963925598
pr_news_006_t02,0.209263706118795
pr_news_006_t03,0.269814156993601
pr_news_006_t04,0.275583132333875
pr_news_007_t01,0.117205069641507
pr_news_007_t02,0.234368519731883
pr_news_007_t03,0.257908276677352
pr_news_007_t04,0.229876907193118
pr_news_008_t01,0.084916889283587
pr_news_008_t02,0.246405752836185
pr_news_008_t03,0.203421424413487
pr_news_008_t04,0.268350328729433
pr_news_009_t01,0.081574189991723
pr_news_009_t02,0.203637898162321
pr_news_009_t03,0.236904133225908
pr_news_009_t04,0.284154159235863
pr_news_010_t01,0.106922255731769
pr_news_010_t02,0.144164993653878
pr_news_010_t03,0.263538760280104
pr_news_010_t04,0.248681416573457
pr_news_011_t01,0.084021894280675
pr_news_011_t02,0.175715368798813
pr_news_011_t03,0.266918918765769
pr_news_011_t04,0.333498059351483
pr_news_012_t01,0.151974444315099
pr_news_012_t02,0.199109060803597
pr_news_012_t03,0.254528457678109
pr_news_012_t04,0.305366268209554
pr_news_013_t01,0.077704046506839
pr_news_013_t02,0.136083622632127
pr_news_013_t03,0.385996583863169
pr_news_013_t04,0.241776193983962
pr_news_014_t01,0.061482978390684
pr_news_014_t02,0.172180710107963
pr_news_014_t03,0.377621587822497
pr_news_014_t04,0.223728274156195
pr_news_015_t01,0.073049780331541
pr_news_015_t02,0.165384846533239
pr_news_015_t03,0.351811711675627
pr_news_015_t04,0.243749471762243
pr_news_016_t01,0.074273298461334
pr_news_016_t02,0.18755969432074
pr_news_016_t03,0.376179598582637
pr_news_016_t04,0.238120704466475
pr_news_017_t01,0.098783142686878
pr_news_017_t02,0.164656776822685
pr_news_017_t03,0.267066200587379
pr_news_017_t04,0.303144007168594
pr_news_018_t01,0.048398557919723
pr_news_018_t02,0.246066042909752
pr_news_018_t03,0.261644585843433
pr_news_018_t04,0.269859586445784
pr_news_019_t01,0.022820946571782
pr_news_019_t02,0.411137377177084
pr_news_019_t03,0.30713634796434
pr_news_019_t04,0.200193317920101
pr_news_020_t01,0.048372928610412
pr_news_020_t02,0.310470389159358
pr_news_020_t03,0.241390271063601
pr_news_020_t04,0.230249623212478
pr_news_021_t01,0.047090695713128
pr_news_021_t02,0.266958846891471
pr_news_021_t03,0.242210917921603
pr_news_021_t04,0.269478231673861
pr_news_022_t01,0.124946715612531
pr_news_022_t02,0.219367212086695
pr_news_022_t03,0.206239863199905
pr_news_022_t04,0.187400459631009
pr_news_023_t01,0.115102467056129
pr_news_023_t02,0.188761537433363
pr_news_023_t03,0.159422680695378
pr_news_023_t04,0.16771703896099
pr_news_024_t01,0.069263673184186
pr_news_024_t02,0.199487219711384
pr_news_024_t03,0.18052937044458
pr_news_024_t04,0.276339549956361
pr_news_025_t01,0.059339327376884
pr_news_025_t02,0.260599579504297
pr_news_025_t03,0.179856201033492
pr_news_025_t04,0.256414894220031
pr_news_026_t01,0.052153605978352
pr_news_026_t02,0.336522281349764
pr_news_026_t03,0.169456800528418
pr_news_026_t04,0.240756982437148
pr_news_027_t01,0.052671952992892
pr_news_027_t02,0.312174079526327
pr_news_027_t03,0.177319712828668
pr_news_027_t04,0.244734340356906
pr_news_028_t01,0.039506772618069
pr_news_028_t02,0.271091217270824
pr_news_028_t03,0.200557035101337
pr_news_028_t04,0.291684453800594
pr_news_029_t01,0.082069971588934
pr_news_029_t02,0.206186312431973
pr_news_029_t03,0.222056565315108
pr_news_029_t04,0.313659496757417
pr_news_030_t01,0.070411437641118
pr_news_030_t02,0.214030479811998
pr_news_030_t03,0.154283777419723
pr_news_030_t04,0.400594419114517
pr_news_031_t01,0.059392404891153
pr_news_031_t02,0.292387604409091
pr_news_031_t03,0.113457984454018
pr_news_031_t04,0.34904509955158
pr_news_032_t01,0.088974389626887
pr_news_032_t02,0.261764197988677
pr_news_032_t03,0.144872366774966
pr_news_032_t04,0.327411990815502
pr_news_033_t01,0.138866417440467
pr_news_033_t02,0.218566802252905
pr_news_033_t03,0.183290613122164
pr_news_033_t04,0.323950539284161
pr_news_034_t01,0.141995622774494
pr_news_034_t02,0.200851618886608
pr_news_034_t03,0.192116974083208
pr_news_034_t04,0.264129000336868
pr_news_035_t01,0.085865468074361
pr_news_035_t02,0.097671881570612
pr_news_035_t03,0.491081122517728
pr_news_035_t04,0.134788563668591
pr_news_036_t01,0.12185480134604
pr_news_036_t02,0.256163734497865
pr_news_036_t03,0.208990855018384
pr_news_036_t04,0.255126583248142
pr_news_037_t01,0.099019055456437
pr_news_037_t02,0.190081768571937
pr_news_037_t03,0.239554747500871
pr_news_037_t04,0.261404546231639
pr_news_038_t01,0.123928247668063
pr_news_038_t02,0.159833791031522
pr_news_038_t03,0.227641494150112
pr_news_038_t04,0.246367401402136
pr_news_039_t01,0.086419947845648
pr_news_039_t02,0.177473768038907
pr_news_039_t03,0.156577630873611
pr_news_039_t04,0.278966968073714
pr_news_040_t01,0.149277309049155
pr_news_040_t02,0.125415915579432
pr_news_040_t03,0.141617171496972
pr_news_040_t04,0.391621645759297
pr_news_041_t01,0.094434708122164
pr_news_041_t02,0.199002570430136
pr_news_041_t03,0.202280989508181
pr_news_041_t04,0.301132855933274
pr_news_042_t01,0.115529787679817
pr_news_042_t02,0.248374450181212
pr_news_042_t03,0.159378439375024
pr_news_042_t04,0.277682086911871
pr_news_043_t01,0.064690922499133
pr_news_043_t02,0.289956688783108
pr_news_043_t03,0.164039647713426
pr_news_043_t04,0.222860746358173
pr_news_044_t01,0.068719081791354
pr_news_044_t02,0.151446286571705
pr_news_044_t03,0.226754863624151
pr_news_044_t04,0.343217713628317
pr_news_045_t01,0.072641620599446
pr_news_045_t02,0.188535977137931
pr_news_045_t03,0.182231604560731
pr_news_045_t04,0.362751456083362
pr_news_046_t01,0.04986284079855
pr_news_046_t02,0.202238065696259
pr_news_046_t03,0.126798249552673
pr_news_046_t04,0.488516287574886
pr_news_047_t01,0.028917627361835
pr_news_047_t02,0.179244134528086
pr_news_047_t03,0.156830879428424
pr_news_047_t04,0.431291163524855
pr_news_048_t01,0.087936048270855
pr_news_048_t02,0.159656458876116
pr_news_048_t03,0.118941185429312
pr_news_048_t04,0.418908301479419
pr_news_049_t01,0.028426755258926
pr_news_049_t02,0.268360536670398
pr_news_049_t03,0.09838301747852
pr_news_049_t04,0.488872549267989
pr_news_050_t01,0.034860493675406
pr_news_050_t02,0.267836097031921
pr_news_050_t03,0.117135098463607
pr_news_050_t04,0.444786521353286
pr_news_051_t01,0.078171797815876
pr_news_051_t02,0.206955248997384
pr_news_051_t03,0.121910819951482
pr_news_051_t04,0.425936965475901
pr_news_052_t01,0.077582679318727
pr_news_052_t02,0.210631731707885
pr_news_052_t03,0.149933831019005
pr_news_052_t04,0.402230418979676
pr_news_053_t01,0.088668010777353
pr_news_053_t02,0.194232512525492
pr_news_053_t03,0.137338980844809
pr_news_053_t04,0.369201486430576
pr_news_054_t01,0.080369927312332
pr_news_054_t02,0.103409061346629
pr_news_054_t03,0.134992038795778
pr_news_054_t04,0.548319822493676
pr_news_055_t01,0.070689620778179
pr_news_055_t02,0.160134137285786
pr_news_055_t03,0.161662116264481
pr_news_055_t04,0.46313919953962
pr_news_056_t01,0.065272389973353
pr_news_056_t02,0.202422091856474
pr_news_056_t03,0.129200564076383
pr_news_056_t04,0.45316792369923
pr_news_057_t01,0.048088195581828
pr_news_057_t02,0.179923276422391
pr_news_057_t03,0.140835041718582
pr_news_057_t04,0.456117735935237
pr_news_058_t01,0.066158816629662
pr_news_058_t02,0.146712755133503
pr_news_058_t03,0.159709255617297
pr_news_058_t04,0.423222556352997
pr_news_059_t01,0.023299917251511
pr_news_059_t02,0.098733849648525
pr_news_059_t03,0.094279851357458
pr_news_059_t04,0.554684985695979
pr_news_060_t01,0.012635138812994
pr_news_060_t02,0.127625140753219
pr_news_060_t03,0.046327344627027
pr_news_060_t04,0.508252599390757
pr_news_061_t01,0.05729489317883
pr_news_061_t02,0.183050037953917
pr_news_061_t03,0.054281816424149
pr_news_061_t04,0.495883162329652
pr_news_062_t01,0.011529847739179
pr_news_062_t02,0.153218202759391
pr_news_062_t03,0.165887551904167
pr_news_062_t04,0.508964541871686
pr_news_063_t01,0.040349903527372
pr_news_063_t02,0.133193049952002
pr_news_063_t03,0.097959842387295
pr_news_063_t04,0.538943790964456
pr_news_064_t01,0.037749183074758
pr_news_064_t02,0.151871200627537
pr_news_064_t03,0.138163433231353
pr_news_064_t04,0.534176864553522
pr_news_065_t01,0.045987150562527
pr_news_065_t02,0.163092245115281
pr_news_065_t03,0.155948925598845
pr_news_065_t04,0.502072812300199
pr_news_066_t01,0.045732977844779
pr_news_066_t02,0.212087780187029
pr_news_066_t03,0.166682556257736
pr_news_066_t04,0.48298159430997
pr_news_067_t01,0.054097041555826
pr_news_067_t02,0.184329492426526
pr_news_067_t03,0.217979979246853
pr_news_067_t04,0.428912730888228
pr_news_068_t01,0.086085167197676
pr_news_068_t02,0.203459376092547
pr_news_068_t03,0.115132561653885
pr_news_068_t04,0.46269906517579
pr_news_069_t01,0.093775475940611
pr_news_069_t02,0.222043409246014
pr_news_069_t03,0.127845706310057
pr_news_069_t04,0.416091505113466
pr_news_070_t01,0.236666487333051
pr_news_070_t02,0.194578433629939
pr_news_070_t03,0.113682668658436
pr_news_070_t04,0.329850416236802
pr_news_071_t01,0.536574488642686
pr_news_071_t02,0.06713687028608
pr_news_071_t03,0.056773922997519
pr_news_071_t04,0.260556474833582
pr_news_072_t01,0.423156847443751
pr_news_072_t02,0.106277118975279
pr_news_072_t03,0.087861884171967
pr_news_072_t04,0.279673190923857
pr_news_073_t01,0.442683198206202
pr_news_073_t02,0.110795227590931
pr_news_073_t03,0.088084712863697
pr_news_073_t04,0.241901664288023
pr_news_074_t01,0.221640466713393
pr_news_074_t02,0.146019475257507
pr_news_074_t03,0.108692611241748
pr_news_074_t04,0.401262324843038
pr_news_075_t01,0.13997323849506
pr_news_075_t02,0.209322057090447
pr_news_075_t03,0.133277565933808
pr_news_075_t04,0.402974331837873
pr_news_076_t01,0.136986173615654
pr_news_076_t02,0.183148448893505
pr_news_076_t03,0.131305828294238
pr_news_076_t04,0.437056727610783
pr_news_077_t01,0.180732479936404
pr_news_077_t02,0.143359561231004
pr_news_077_t03,0.151392262416911
pr_news_077_t04,0.40058526849499
pr_news_078_t01,0.22404116619141
pr_news_078_t02,0.182809421917003
pr_news_078_t03,0.097942564047911
pr_news_078_t04,0.37011536709119
pr_news_079_t01,0.174066498825171
pr_news_079_t02,0.179197542161589
pr_news_079_t03,0.109607841579677
pr_news_079_t04,0.419637823436693
pr_news_080_t01,0.215329468586943
pr_news_080_t02,0.134267128221389
pr_news_080_t03,0.076603972665554
