par,value
topic_lambda:foreign_policy,0.309690264739617
topic_lambda:economy,0.587142757198419
topic_lambda:crime,0.00298648730123
topic_lambda:horse_race,0.100180490760734
topic_rho:foreign_policy,0.972623236108871
topic_rho:economy,0.999541644444023
topic_rho:crime,0.643913816525846
topic_rho:horse_race,0.731260164303632
topic_leisure:foreign_policy,1.05898704088096
topic_leisure:economy,110.218607819365
topic_leisure:crime,52.3511896635723
topic_leisure:horse_race,43.792267242289
topic_mu:foreign_policy,0.12725068419808
topic_mu:economy,0.795192167195202
topic_mu:crime,0.704473440398263
topic_mu:horse_race,0.756340223584439
channel_q_D:cnn,0.857678128734907
channel_q_D:fnc,0.866104235363416
channel_q_D:msnbc,0.982575821949274
channel_q_R:cnn,0.997482710646849
channel_q_R:fnc,0.966383834462711
channel_q_R:msnbc,0.95145658160801
channel_q_0:cnn,0.246877617677612
channel_q_0:fnc,0.99831010154955
channel_q_0:msnbc,0.373661334007799
beta:vote,9.92832755692753
beta:slant,-13.4009248665709
beta:show:cnn,-7.01212102511748
beta:show:fnc,-5.5594376266085
beta:show:msnbc,-8.20502192347732
beta:channel_mu:cnn,-0.062251378358774
beta:channel_mu:fnc,-1.14661082214687
beta:channel_mu:msnbc,-1.9396305950195
beta:channel_sigma:cnn,0.886161098527039
beta:channel_sigma:fnc,1.95103123039428
beta:channel_sigma:msnbc,1.89834779366172
zero:news,0.725258047583852
pr_news_002_t01,0
pr_news_002_t02,0
pr_news_002_t03,0
pr_news_002_t04,0
pr_news_007_t01,0
pr_news_007_t02,0
pr_news_007_t03,0
pr_news_007_t04,0
pr_news_012_t01,0
pr_news_012_t02,0
pr_news_012_t03,0
pr_news_012_t04,0
pr_news_017_t01,0
pr_news_017_t02,0
pr_news_017_t03,0
pr_news_017_t04,0
pr_news_022_t01,0
pr_news_022_t02,0
pr_news_022_t03,0
pr_news_022_t04,0
pr_news_027_t01,0
pr_news_027_t02,0
pr_news_027_t03,0
pr_news_027_t04,0
pr_news_032_t01,0
pr_news_032_t02,0
pr_news_032_t03,0
pr_news_032_t04,0
pr_news_036_t01,0
pr_news_036_t02,0
pr_news_036_t03,0
pr_news_036_t04,0
pr_news_045_t01,0
pr_news_045_t02,0
pr_news_045_t03,0
pr_news_045_t04,0
pr_news_050_t01,0
pr_news_050_t02,0
pr_news_050_t03,0
pr_news_050_t04,0
pr_news_055_t01,0
pr_news_055_t02,0
pr_news_055_t03,0
pr_news_055_t04,0
pr_news_060_t01,0.01263514
pr_news_060_t02,0.12762514
pr_news_060_t03,0.04632734
pr_news_060_t04,0.5082526
pr_news_065_t01,0.045987150562527
pr_news_065_t02,0.163092245115281
pr_news_065_t03,0.155948925598845
pr_news_065_t04,0.502072812300199
pr_news_070_t01,0
pr_news_070_t02,0
pr_news_070_t03,0
pr_news_070_t04,0
pr_news_075_t01,0
pr_news_075_t02,0
pr_news_075_t03,0
pr_news_075_t04,0
pr_news_080_t01,0
pr_news_080_t02,0
pr_news_080_t03,0
pr_news_080_t04,0
pr_news_085_t01,0
pr_news_085_t02,0
pr_news_085_t03,0
pr_news_085_t04,0
pr_news_090_t01,0
pr_news_090_t02,0
pr_news_090_t03,0
pr_news_090_t04,0
pr_news_095_t01,0.05249029486351
pr_news_095_t02,0.085879334878241
pr_news_095_t03,0.054580948474497
pr_news_095_t04,0.747533636299787
pr_news_100_t01,0
pr_news_100_t02,0
pr_news_100_t03,0
pr_news_100_t04,0
pr_news_105_t01,0.060564675756685
pr_news_105_t02,0.072071785119179
pr_news_105_t03,0.050735222189451
pr_news_105_t04,0.311292273842167
pr_news_110_t01,0.005415809
pr_news_110_t02,0.034658922
pr_news_110_t03,0.0129138
pr_news_110_t04,0.87450516
pr_news_115_t01,0
pr_news_115_t02,0
pr_news_115_t03,0
pr_news_115_t04,0
pr_news_120_t01,0
pr_news_120_t02,0
pr_news_120_t03,0
pr_news_120_t04,0
pr_news_125_t01,0
pr_news_125_t02,0
pr_news_125_t03,0
pr_news_125_t04,0
pr_news_130_t01,0
pr_news_130_t02,0
pr_news_130_t03,0
pr_news_130_t04,0
pr_news_135_t01,0
pr_news_135_t02,0
pr_news_135_t03,0
pr_news_135_t04,0
pr_news_140_t01,0
pr_news_140_t02,0
pr_news_140_t03,0
pr_news_140_t04,0
pr_news_145_t01,0
pr_news_145_t02,0
pr_news_145_t03,0
pr_news_145_t04,0
pr_news_150_t01,0
pr_news_150_t02,0
pr_news_150_t03,0
pr_news_150_t04,0
pr_news_155_t01,0
pr_news_155_t02,0
pr_news_155_t03,0
pr_news_155_t04,0
pr_news_160_t01,0
pr_news_160_t02,0
pr_news_160_t03,0
pr_news_160_t04,0
pr_news_165_t01,0
pr_news_165_t02,0
pr_news_165_t03,0
pr_news_165_t04,0
pr_news_170_t01,0
pr_news_170_t02,0
pr_news_170_t03,0
pr_news_170_t04,0
pr_rep_002_t01,0.513430143808213
pr_rep_002_t02,0.513430143808213
pr_rep_002_t03,0.513430143808213
pr_rep_002_t04,0.513430143808213
pr_rep_007_t01,0.492413702372119
pr_rep_007_t02,0.959911011144889
pr_rep_007_t03,0.245154331046823
pr_rep_007_t04,0.207243613020382
pr_rep_012_t01,0.492670817819783
pr_rep_012_t02,0.492670817819783
pr_rep_012_t03,0.492670817819783
pr_rep_012_t04,0.492670817819783
pr_rep_017_t01,0.714491548078693
pr_rep_017_t02,0.258339717322654
pr_rep_017_t03,0.340541357407624
pr_rep_017_t04,0.966410896377098
pr_rep_022_t01,0.541275286973684
pr_rep_022_t02,0.541275286973684
pr_rep_022_t03,0.541275286973684
pr_rep_022_t04,0.541275286973684
pr_rep_027_t01,0.576994930557894
pr_rep_027_t02,0.486194955633949
pr_rep_027_t03,0.503336327677039
pr_rep_027_t04,0.530175872352261
pr_rep_032_t01,0.522832839594916
pr_rep_032_t02,0.522832839594916
pr_rep_032_t03,0.522832839594916
pr_rep_032_t04,0.522832839594916
pr_rep_036_t01,0.480623906888596
pr_rep_036_t02,0.106165431131063
pr_rep_036_t03,0.986605360358023
pr_rep_036_t04,0.432378059370371
pr_rep_045_t01,0.661734667228689
pr_rep_045_t02,0.661734667228689
pr_rep_045_t03,0.661734667228689
pr_rep_045_t04,0.661734667228689
pr_rep_050_t01,0.508495898636317
pr_rep_050_t02,0.950268374635136
pr_rep_050_t03,0.577889219484542
pr_rep_050_t04,0.677811537912534
pr_rep_055_t01,0.371225265543187
pr_rep_055_t02,0.371225265543187
pr_rep_055_t03,0.371225265543187
pr_rep_055_t04,0.371225265543187
pr_rep_060_t01,0.87021273781579
pr_rep_060_t02,0.821502987658324
pr_rep_060_t03,0.286536613659191
pr_rep_060_t04,0.717592283180823
pr_rep_065_t01,0.330367029012782
pr_rep_065_t02,0.330367029012782
pr_rep_065_t03,0.330367029012782
pr_rep_065_t04,0.330367029012782
pr_rep_070_t01,0.740400365665834
pr_rep_070_t02,0.301328814139467
pr_rep_070_t03,0.518371680254656
pr_rep_070_t04,0.583650018722717
pr_rep_075_t01,0.444272962314135
pr_rep_075_t02,0.444272962314135
pr_rep_075_t03,0.444272962314135
pr_rep_075_t04,0.444272962314135
pr_rep_080_t01,0.664339189460044
pr_rep_080_t02,0.745289957678095
pr_rep_080_t03,0.861280146671969
pr_rep_080_t04,0.80712906037312
pr_rep_085_t01,0.608502587099156
pr_rep_085_t02,0.608502587099156
pr_rep_085_t03,0.608502587099156
pr_rep_085_t04,0.608502587099156
pr_rep_090_t01,0.620092513342171
pr_rep_090_t02,0.526489638497859
pr_rep_090_t03,0.673294934371256
pr_rep_090_t04,0.87148321638736
pr_rep_095_t01,0.466830313097871
pr_rep_095_t02,0.466830313097871
pr_rep_095_t03,0.466830313097871
pr_rep_095_t04,0.466830313097871
pr_rep_100_t01,0.48882843723906
pr_rep_100_t02,0.992547571747557
pr_rep_100_t03,0.589177892046037
pr_rep_100_t04,0.049454581581102
pr_rep_105_t01,0.316177549999969
pr_rep_105_t02,0.316177549999969
pr_rep_105_t03,0.316177549999969
pr_rep_105_t04,0.316177549999969
pr_rep_110_t01,0.942238561574819
pr_rep_110_t02,0.043726755407206
pr_rep_110_t03,0.460236429982531
pr_rep_110_t04,0.880656815234416
pr_rep_115_t01,0.5
pr_rep_115_t02,0.5
pr_rep_115_t03,0.5
pr_rep_115_t04,0.5
pr_rep_120_t01,0.742091662820615
pr_rep_120_t02,0.583065533034527
pr_rep_120_t03,0.253260401375911
pr_rep_120_t04,0.41520128544645
pr_rep_125_t01,0.5
pr_rep_125_t02,0.5
pr_rep_125_t03,0.5
pr_rep_125_t04,0.5
pr_rep_130_t01,0.800704472991245
pr_rep_130_t02,0.320315540948811
pr_rep_130_t03,0.83009742713398
pr_rep_130_t04,0.686905679312251
pr_rep_135_t01,0.5
pr_rep_135_t02,0.5
pr_rep_135_t03,0.5
pr_rep_135_t04,0.5
pr_rep_140_t01,0.401837914286675
pr_rep_140_t02,0.45624455794931
pr_rep_140_t03,0.944443870161996
pr_rep_140_t04,0.752684012661857
pr_rep_145_t01,0.5
pr_rep_145_t02,0.5
pr_rep_145_t03,0.5
pr_rep_145_t04,0.5
pr_rep_150_t01,0.433047008506133
pr_rep_150_t02,0.220187286725808
pr_rep_150_t03,0.787943833444062
pr_rep_150_t04,0.723395893973041
pr_rep_155_t01,0.5
pr_rep_155_t02,0.5
pr_rep_155_t03,0.5
pr_rep_155_t04,0.5
pr_rep_160_t01,0.748221843856453
pr_rep_160_t02,0.502924939662429
pr_rep_160_t03,0.980353255114172
pr_rep_160_t04,0.340350456676216
pr_rep_165_t01,0.5
pr_rep_165_t02,0.5
pr_rep_165_t03,0.5
pr_rep_165_t04,0.5
pr_rep_170_t01,0.19618769563251
pr_rep_170_t02,0.53901067803264
pr_rep_170_t03,0.946592891860897
pr_rep_170_t04,0.231951535429173
