par,value,lb,ub
topic_lambda:foreign_policy,0.25,0,1
topic_lambda:economy,0.25,0,1
topic_lambda:crime,0.25,0,1
topic_lambda:horse_race,0.25,0,1
topic_leisure:foreign_policy,5,0,10
topic_leisure:economy,5,0,10
topic_leisure:crime,5,0,10
topic_leisure:horse_race,5,0,10
topic_mu:foreign_policy,0,-10,10
topic_mu:economy,0,-10,10
topic_mu:crime,0,-10,10
topic_mu:horse_race,0,-10,10
consumer_state_var_0,1,1E-06,10
channel_location:cnn,-8.05769240972431,-20,20
channel_location:fnc,16.8617950385926,-20,20
channel_location:msnbc,-8.15336014899053,-20,20
beta:info,100,0,500
beta:slant,-0.230365197304856,-10,10
beta:show:cnn,-10,-20,20
beta:show:fnc,-10,-20,20
beta:show:msnbc,-10,-20,20
zero:news,0.33,0,1
channel_report_var,1,1E-06,10
consumer_free_var,1,1E-06,10
001_t03,-0.319484743075311,-20,20
001_t04,-0.683157582886736,-20,20
003_t01,0.502383944261929,-20,20
003_t03,0.389915632671268,-20,20
003_t04,-1.5690374924068,-20,20
004_t02,-0.06813119731639,-20,20
004_t03,-0.019973999155639,-20,20
004_t04,0.798841100750845,-20,20
005_t01,-0.358453508232515,-20,20
005_t02,0.176913740878923,-20,20
005_t03,-1.43044399598513,-20,20
005_t04,0.37029025842029,-20,20
006_t02,-0.560468132266653,-20,20
006_t03,-0.902023135246399,-20,20
006_t04,0.272621415035744,-20,20
007_t02,0.635761885597105,-20,20
007_t03,-0.811762608370572,-20,20
007_t04,-0.72237858312252,-20,20
008_t02,0.467727702252514,-20,20
008_t03,0.80359269549691,-20,20
008_t04,-0.138426760390633,-20,20
009_t02,0.911574484291933,-20,20
009_t03,-2.73787417745909,-20,20
009_t04,0.093823165650658,-20,20
010_t02,1.67525741889276,-20,20
010_t03,1.35627409028618,-20,20
010_t04,0.864767450010987,-20,20
011_t02,0.23749065743278,-20,20
011_t03,0.680079272791293,-20,20
011_t04,-0.939563871264127,-20,20
012_t01,0.005873741750364,-20,20
012_t02,0.110873950636659,-20,20
012_t03,-0.043457127318614,-20,20
012_t04,0.903417027995211,-20,20
013_t02,1.24258927477078,-20,20
013_t04,0.144868540773526,-20,20
014_t02,-0.258104960353339,-20,20
014_t03,-0.139596187901748,-20,20
014_t04,-0.222246375577701,-20,20
015_t02,-0.806428259931085,-20,20
015_t04,0.227249578406457,-20,20
016_t03,-0.886129155148165,-20,20
016_t04,-0.248730060651429,-20,20
017_t02,-0.312213806616253,-20,20
017_t03,-1.23614865788421,-20,20
017_t04,0.239565184593552,-20,20
018_t02,0.991491176325393,-20,20
018_t03,0.085087747623742,-20,20
018_t04,-0.810797983409753,-20,20
020_t01,0.915591384145035,-20,20
020_t02,0.408639843885705,-20,20
020_t03,0.412187818958412,-20,20
020_t04,0.549889602735171,-20,20
021_t01,-1.3587011184086,-20,20
021_t02,0.815508933530744,-20,20
021_t03,0.816243526453558,-20,20
021_t04,2.45005603689731,-20,20
022_t01,-0.747834099703013,-20,20
022_t02,-0.107517421005895,-20,20
022_t03,0.265044491677678,-20,20
022_t04,-0.073001588493746,-20,20
023_t01,0.73383853263703,-20,20
023_t02,0.602743322860505,-20,20
023_t03,0.371857892817307,-20,20
023_t04,0.249628946007366,-20,20
024_t02,-0.934204758927542,-20,20
024_t03,1.10556443676547,-20,20
024_t04,-0.071139506991887,-20,20
025_t01,-0.219269574628992,-20,20
025_t02,0.244418275142173,-20,20
025_t03,-0.45726553745574,-20,20
025_t04,-0.2909977464961,-20,20
026_t02,-0.331795763951604,-20,20
026_t03,0.120933754981948,-20,20
026_t04,0.187415794603535,-20,20
027_t01,-1.04216636269447,-20,20
027_t02,-0.895689576991821,-20,20
027_t03,1.13087266983447,-20,20
027_t04,-0.667495050612438,-20,20
028_t02,0.383302945744795,-20,20
028_t03,0.015671424667882,-20,20
028_t04,0.010784241888899,-20,20
029_t02,-0.41660267507713,-20,20
029_t03,0.682639584859231,-20,20
030_t01,0.840866456381519,-20,20
030_t02,-1.14906135630481,-20,20
030_t03,-0.361571465106028,-20,20
030_t04,-0.663621515894512,-20,20
031_t03,0.596931823585607,-20,20
031_t04,0.031176848524428,-20,20
032_t01,0.773701512579848,-20,20
032_t04,-1.44474143326211,-20,20
033_t01,-0.351111322858816,-20,20
033_t04,-0.845135360120597,-20,20
034_t01,-0.300194173721962,-20,20
034_t02,-0.956383909454541,-20,20
034_t03,-0.009388357972242,-20,20
034_t04,-0.777056908028115,-20,20
035_t03,0.553095415377367,-20,20
035_t04,-0.061135724855163,-20,20
036_t01,1.31224506860085,-20,20
036_t02,-0.751394987939701,-20,20
036_t03,-0.308829624183794,-20,20
036_t04,0.52066028305541,-20,20
037_t03,-0.511047438646539,-20,20
037_t04,0.104122286952205,-20,20
038_t01,0.744260542714731,-20,20
038_t02,0.184854031462347,-20,20
038_t03,0.012490205339777,-20,20
038_t04,2.03447766144114,-20,20
039_t01,-0.403255922166103,-20,20
039_t02,-0.403692820184897,-20,20
039_t03,0.126784371176889,-20,20
039_t04,-0.427045567808793,-20,20
040_t01,-1.41493751834499,-20,20
040_t02,0.488509300029492,-20,20
040_t03,0.396142911225631,-20,20
040_t04,0.071759624217318,-20,20
041_t01,-0.820919256701256,-20,20
041_t02,-0.768032767094635,-20,20
041_t03,-0.638451202140651,-20,20
041_t04,-0.474369370375534,-20,20
042_t01,0.243149405010254,-20,20
042_t02,-0.946759306176751,-20,20
042_t03,-0.245971463123265,-20,20
042_t04,-0.294373619055541,-20,20
043_t02,-1.36593820971767,-20,20
043_t03,1.54292033213871,-20,20
043_t04,-0.136546697462354,-20,20
044_t02,-0.279340336720569,-20,20
044_t03,-0.306203658304497,-20,20
044_t04,-0.327294738227955,-20,20
045_t01,-0.399086212406271,-20,20
045_t02,-0.322656527090171,-20,20
045_t03,-0.53597222164187,-20,20
045_t04,-0.269451152935595,-20,20
046_t02,0.243286073393865,-20,20
046_t03,-0.435551489548065,-20,20
046_t04,-0.030800271645269,-20,20
047_t02,0.935380069788305,-20,20
047_t03,0.473464500586406,-20,20
047_t04,0.418582679633484,-20,20
048_t01,-0.155150532377203,-20,20
048_t02,0.455506789569728,-20,20
048_t03,0.042128659893422,-20,20
048_t04,0.311798622589762,-20,20
049_t02,-0.697439105060052,-20,20
049_t03,-0.287988225659845,-20,20
049_t04,0.884988369306605,-20,20
050_t02,-0.374261967129112,-20,20
050_t03,0.62216036321098,-20,20
050_t04,1.08417925352534,-20,20
051_t01,0.943639234689407,-20,20
051_t03,-0.795185471422077,-20,20
052_t01,0.664683636965915,-20,20
052_t03,-0.835669439413188,-20,20
052_t04,-0.688563696357413,-20,20
053_t03,0.067009552235007,-20,20
053_t04,0.470740746735014,-20,20
054_t03,1.01341334569507,-20,20
054_t04,-1.67436074512655,-20,20
055_t02,0.325136771311016,-20,20
055_t03,1.00642588256547,-20,20
056_t01,-0.198829729084984,-20,20
056_t04,0.401026826063209,-20,20
057_t02,-0.453172045665003,-20,20
057_t03,0.013146582832562,-20,20
057_t04,0.023267862785378,-20,20
058_t02,-0.319907837518379,-20,20
058_t03,0.107222895747125,-20,20
058_t04,0.161050816335848,-20,20
060_t01,0.330569697738881,-20,20
060_t02,-0.486183036054129,-20,20
060_t03,0.507408715100173,-20,20
061_t02,0.891942023271991,-20,20
061_t04,-0.351416300663164,-20,20
062_t03,1.08888224220729,-20,20
062_t04,0.342001331236055,-20,20
063_t02,0.35781776328357,-20,20
063_t03,0.315221276880131,-20,20
063_t04,-0.386088690189112,-20,20
064_t04,0.8127301098041,-20,20
065_t03,0.87877621365735,-20,20
065_t04,-2.5972671246858,-20,20
066_t02,-0.109398015960657,-20,20
066_t03,-0.37611942242442,-20,20
066_t04,1.08866862843041,-20,20
067_t02,-0.661017530114027,-20,20
067_t03,-0.365233982209631,-20,20
067_t04,0.15373661790743,-20,20
068_t02,0.265595171205348,-20,20
068_t03,-0.869175637598435,-20,20
068_t04,0.480553810805837,-20,20
069_t03,-0.47541298271862,-20,20
070_t01,-0.221499926310841,-20,20
071_t01,-0.034092782322105,-20,20
071_t04,0.424154217280389,-20,20
076_t04,0.646144277586544,-20,20
078_t01,-0.238820963570788,-20,20
078_t03,0.332848971978169,-20,20
081_t04,-0.20448106355359,-20,20
083_t01,-1.58233389530329,-20,20
083_t02,-1.50825038526877,-20,20
083_t03,-1.1756405488358,-20,20
084_t01,0.489910962599907,-20,20
086_t04,-0.704047705705271,-20,20
087_t04,0.660358543350085,-20,20
089_t03,0.378700293809359,-20,20
091_t01,-0.325144489872635,-20,20
091_t04,0.905189625656391,-20,20
092_t01,-0.26657165124027,-20,20
092_t03,0.136602919925725,-20,20
092_t04,-0.458542486689442,-20,20
095_t04,0.71176690510827,-20,20
096_t04,1.31114307942232,-20,20
097_t04,1.10167095114258,-20,20
099_t04,-0.015485638708714,-20,20
100_t01,0.309533890460862,-20,20
100_t03,0.52656261057767,-20,20
100_t04,-0.22468719450719,-20,20
101_t04,-1.01201481759199,-20,20
102_t01,1.9102465872256,-20,20
102_t04,0.238778591199392,-20,20
103_t01,0.375222214125589,-20,20
103_t02,1.09683312465004,-20,20
103_t04,-0.928087247800359,-20,20
104_t01,0.434257401493873,-20,20
104_t03,0.155238581926078,-20,20
104_t04,-0.882184536056265,-20,20
105_t03,0.997477627215083,-20,20
105_t04,-0.080335948785212,-20,20
106_t01,-0.043084771036966,-20,20
106_t03,1.09823993769809,-20,20
106_t04,-1.03990042602286,-20,20
107_t01,-0.931444982676645,-20,20
107_t02,0.424682932188013,-20,20
107_t03,0.013369277456292,-20,20
107_t04,0.271978617260263,-20,20
108_t01,0.667270355848856,-20,20
108_t02,0.381455579475865,-20,20
108_t03,0.055016996002664,-20,20
108_t04,-0.563903452138263,-20,20
109_t03,0.262841198596142,-20,20
109_t04,-1.35201448707791,-20,20
110_t04,-1.84728664826742,-20,20
111_t02,-0.128686379804108,-20,20
111_t04,0.690315436264623,-20,20
112_t04,0.361873808842944,-20,20
114_t02,0.589751492634694,-20,20
114_t04,0.523539833754228,-20,20
115_t01,-0.310143504550968,-20,20
115_t02,1.4090238761432,-20,20
115_t04,0.198486989714976,-20,20
116_t02,-0.077652932747824,-20,20
116_t04,0.057267362704742,-20,20
117_t02,0.107949887988894,-20,20
117_t04,-0.003007201270115,-20,20
121_t01,0.004377464248464,-20,20
121_t03,-0.453209433207238,-20,20
122_t02,0.225991286703749,-20,20
122_t03,0.743981863827521,-20,20
122_t04,0.965550123084626,-20,20
123_t01,-0.703282318778228,-20,20
123_t02,-0.208813327722183,-20,20
123_t03,-0.032277837412348,-20,20
123_t04,0.251159883771415,-20,20
124_t01,1.02091262818059,-20,20
124_t02,-0.314908970859268,-20,20
125_t01,-2.05989427774167,-20,20
125_t02,0.616716009420433,-20,20
125_t03,0.508050771141203,-20,20
126_t01,0.598017084969435,-20,20
126_t02,-0.687094415990025,-20,20
127_t01,0.484041529793973,-20,20
127_t02,-0.90124495784201,-20,20
127_t03,0.965084783996236,-20,20
128_t02,0.338824899412469,-20,20
128_t03,0.418962575222022,-20,20
129_t03,-0.670670249082825,-20,20
130_t01,-0.210293709091861,-20,20
130_t02,0.446684836152116,-20,20
131_t01,0.242189599488114,-20,20
131_t02,0.126288112149091,-20,20
131_t03,-0.405815521426053,-20,20
132_t02,0.340538496923624,-20,20
132_t03,1.91640906684805,-20,20
133_t01,-0.0609675867241,-20,20
133_t02,0.060817681436667,-20,20
133_t03,-0.233132827619855,-20,20
133_t04,0.594914110414212,-20,20
134_t01,0.606504047090191,-20,20
134_t02,-1.52990812751796,-20,20
134_t03,-0.833188632647467,-20,20
135_t01,-0.048105466779383,-20,20
135_t02,-0.311468098747913,-20,20
135_t03,1.02223210159874,-20,20
135_t04,-1.1349376278337,-20,20
136_t01,-0.660134884999696,-20,20
136_t02,-0.342421517989997,-20,20
136_t03,0.708087371271766,-20,20
137_t01,-0.195347280619075,-20,20
137_t02,-0.609243980874197,-20,20
137_t03,-1.24784445496811,-20,20
138_t03,-0.113341560483089,-20,20
139_t03,0.0279548033302,-20,20
139_t04,-0.147378736379014,-20,20
140_t01,0.950258960482472,-20,20
140_t02,0.48897946993193,-20,20
140_t03,1.82517940909548,-20,20
141_t01,0.076824930389606,-20,20
141_t03,0.85984600442761,-20,20
142_t01,-0.277709751732043,-20,20
142_t03,-0.691939918005041,-20,20
143_t01,-0.435200357466382,-20,20
143_t02,1.05175321346916,-20,20
143_t03,0.304642321351181,-20,20
143_t04,-0.403355590032067,-20,20
144_t01,0.071675349546972,-20,20
144_t02,0.388096210120821,-20,20
144_t03,-0.311331527727802,-20,20
144_t04,-1.28198849823053,-20,20
145_t01,-0.537061674191836,-20,20
145_t02,-0.001343865025731,-20,20
145_t03,0.213272566886467,-20,20
145_t04,1.07883566094702,-20,20
146_t01,0.274102974200588,-20,20
146_t02,-0.0680703691175,-20,20
146_t03,0.342794810515571,-20,20
146_t04,-0.263949252874465,-20,20
147_t01,-0.211550879209792,-20,20
147_t02,-0.254449805619736,-20,20
147_t03,0.83879963733887,-20,20
148_t01,-0.015275442828443,-20,20
148_t02,0.656720337520966,-20,20
148_t03,0.047178048750823,-20,20
148_t04,-0.737479547380268,-20,20
149_t01,-0.039883395359198,-20,20
149_t02,0.668278860522594,-20,20
149_t03,1.11310741681248,-20,20
149_t04,0.581121788667168,-20,20
150_t03,0.001144941225153,-20,20
150_t04,1.28611709199473,-20,20
