par,lb,ub
topic_lambda:foreign_policy,0,1
topic_lambda:economy,0,1
topic_lambda:crime,0,1
topic_lambda:horse_race,0,1
topic_rho:foreign_policy,0.5,1
topic_rho:economy,0.5,1
topic_rho:crime,0.5,1
topic_rho:horse_race,0.5,1
topic_leisure:foreign_policy,0,100
topic_leisure:economy,0,100
topic_leisure:crime,0,100
topic_leisure:horse_race,0,100
topic_mu:foreign_policy,0,1
topic_mu:economy,0,1
topic_mu:crime,0,1
topic_mu:horse_race,0,1
channel_q_D:cnn,0,1
channel_q_D:fnc,0,1
channel_q_D:msnbc,0,1
channel_q_R:cnn,0,1
channel_q_R:fnc,0,1
channel_q_R:msnbc,0,1
beta:vote,0,1000
beta:slant,-1000,0
beta:show:cnn,-30,0
beta:show:fnc,-30,0
beta:show:msnbc,-30,0
beta:channel_mu:cnn,-200,0
beta:channel_mu:fnc,-200,0
beta:channel_mu:msnbc,-200,0
beta:channel_sigma:cnn,1E-06,20
beta:channel_sigma:fnc,1E-06,20
beta:channel_sigma:msnbc,1E-06,20
zero:news,0,1
beta:h5:etz,-1,1
beta:h6:etz,-1,1
beta:h7:etz,-1,1
beta:h8:etz,-1,1
beta:h9:etz,-1,1
beta:h10:etz,-1,1
beta:h5:ctz,-1,1
beta:h6:ctz,-1,1
beta:h7:ctz,-1,1
beta:h8:ctz,-1,1
beta:h9:ctz,-1,1
beta:h10:ctz,-1,1
beta:h5:mtz,-1,1
beta:h6:mtz,-1,1
beta:h7:mtz,-1,1
beta:h8:mtz,-1,1
beta:h9:mtz,-1,1
beta:h10:mtz,-1,1
beta:h5:ptz,-1,1
beta:h6:ptz,-1,1
beta:h7:ptz,-1,1
beta:h8:ptz,-1,1
beta:h9:ptz,-1,1
beta:h10:ptz,-1,1
001_t01,-1,1
001_t02,-1,1
001_t03,-1,1
001_t04,-1,1
002_t01,-1,1
002_t02,-1,1
002_t03,-1,1
002_t04,-1,1
003_t01,-1,1
003_t02,-1,1
003_t03,-1,1
003_t04,-1,1
004_t01,-1,1
004_t02,-1,1
004_t03,-1,1
004_t04,-1,1
005_t01,-1,1
