par,value
topic_lambda:foreign_policy,0.289941536
topic_lambda:economy,0.521420313
topic_lambda:crime,0.089756779
topic_lambda:horse_race,0.098881371
topic_rho:foreign_policy,0.982844927
topic_rho:economy,0.999923242
topic_rho:crime,0.835138259
topic_rho:horse_race,0.79834821
topic_leisure:foreign_policy,17.55275925
topic_leisure:economy,121.8576582
topic_leisure:crime,63.43031569
topic_leisure:horse_race,50.68646118
topic_mu:foreign_policy,0.105679944
topic_mu:economy,0.822527276
topic_mu:crime,0.735910803
topic_mu:horse_race,0.801505862
channel_q_D:cnn,0.782586323
channel_q_D:fnc,0.804509896
channel_q_D:msnbc,0.947744948
channel_q_R:cnn,0.999857835
channel_q_R:fnc,0.923880532
channel_q_R:msnbc,0.857585406
channel_q_0:cnn,0.389513164
channel_q_0:fnc,0.823424694
channel_q_0:msnbc,0.374560747
beta:vote,2.8466788
beta:slant,-12.67250802
beta:show:cnn,-6.533086511
beta:show:fnc,-5.69643823
beta:show:msnbc,-7.279708002
beta:channel_mu:cnn,-100
beta:channel_mu:fnc,-100
beta:channel_mu:msnbc,-100
beta:channel_sigma:cnn,0
beta:channel_sigma:fnc,0
beta:channel_sigma:msnbc,0
zero:news,0.74587201
pr_news_002_t01,0.016101109
pr_news_002_t02,0.054103204
pr_news_002_t03,0.019743744
pr_news_002_t04,0.042364329
pr_news_007_t01,0.052548398
pr_news_007_t02,0.038037278
pr_news_007_t03,0.083437041
pr_news_007_t04,0.042878705
pr_news_012_t01,0.037797949
pr_news_012_t02,0.025915436
pr_news_012_t03,0.086729914
pr_news_012_t04,0.115748718
pr_news_017_t01,0.071534539
pr_news_017_t02,0.041055854
pr_news_017_t03,0.092561133
pr_news_017_t04,0.16186068
pr_news_022_t01,0.027066259
pr_news_022_t02,0.025480967
pr_news_022_t03,0.101630907
pr_news_022_t04,0.03983384
pr_news_027_t01,0.018979906
pr_news_027_t02,0.007651065
pr_news_027_t03,0.105935681
pr_news_027_t04,0.005351304
pr_news_032_t01,0.001216912
pr_news_032_t02,0.089571829
pr_news_032_t03,0.030226561
pr_news_032_t04,0.086006655
pr_news_036_t01,0.092720796
pr_news_036_t02,0.016286403
pr_news_036_t03,0.019016232
pr_news_036_t04,0.023965938
pr_news_045_t01,0.10752406
pr_news_045_t02,0.07045218
pr_news_045_t03,0.047001036
pr_news_045_t04,0.079198213
pr_news_050_t01,0.041783994
pr_news_050_t02,0.055089537
pr_news_050_t03,0.081497936
pr_news_050_t04,0.145696609
pr_news_055_t01,0.029029863
pr_news_055_t02,0.028055664
pr_news_055_t03,0.074169612
pr_news_055_t04,0.122913322
pr_news_060_t01,0.008650039
pr_news_060_t02,0.116339496
pr_news_060_t03,0.11364922
pr_news_060_t04,0.620016621
pr_news_065_t01,0.01624238
pr_news_065_t02,0.022451881
pr_news_065_t03,0.006179919
pr_news_065_t04,0.26026536
pr_news_070_t01,0.016531446
pr_news_070_t02,0.121200054
pr_news_070_t03,0.060242506
pr_news_070_t04,0.090227019
pr_news_075_t01,0.074642006
pr_news_075_t02,0.017434445
pr_news_075_t03,0.021870477
pr_news_075_t04,0.075141864
pr_news_080_t01,0.094404943
pr_news_080_t02,0.093532346
pr_news_080_t03,0.00418417
pr_news_080_t04,0.170559102
pr_news_085_t01,0.001329641
pr_news_085_t02,0.123556073
pr_news_085_t03,0.105827354
pr_news_085_t04,0.159200515
pr_news_090_t01,0.106680813
