moment,data,data_sd,simulation,distance,sq_diff
cnn block 134,0.00137707456018839,6480.432938706744,0.00137524224401046,-1.8323161779299803e-6,2.175729263272793e-8
cnn block 211,0.00137779169675989,5402.14961228493,0.00137524224401046,-2.5494527494298713e-6,3.5112402191513997e-8
cnn block 143,0.00137275869233966,6490.597957649384,0.00137524224401046,2.4835516708001434e-6,4.003419579102014e-8
cnn block 571,0.00301413309539978,4590.447525235795,0.003011097391264191,-3.035704135589002e-6,4.2303267327270596e-8
msnbc block 245,0.00448567942878247,3015.8195781922414,0.004489824099666939,4.144670884468835e-6,5.1806643630187884e-8
cnn block 225,0.00137079382005753,5427.422146150071,0.00137524224401046,4.448423952930049e-6,1.0740041106278254e-7
cnn block 460,0.00244622633590316,4307.090268240675,0.002441117410986979,-5.1089249161811665e-6,1.1241985323467652e-7
cnn block 142,0.00137024224269289,6496.547029455749,0.00137524224401046,5.000001317570198e-6,1.6241376133297256e-7
msnbc block 592,0.00448228649116302,3011.0072483837703,0.004489824099666939,7.537608503918429e-6,1.7107200865742427e-7
cnn block 813,0.0013808311621848,5583.459640533211,0.00137524224401046,-5.5889181743398915e-6,1.7440498083952129e-7
msnbc block 382,0.00447956788014835,3031.545015586035,0.004489824099666939,1.0256219518588357e-5,3.1888833785428495e-7
cnn block 51,0.00174719052584537,4805.554922831175,0.0017559631437235198,8.772617878149676e-6,3.698298576238704e-7
cnn block 203,0.00136521853908799,5426.934335923989,0.00137524224401046,1.0023704922470069e-5,5.452693842671821e-7
cnn block 597,0.00136522209862811,5447.297627584551,0.00137524224401046,1.0020145382350163e-5,5.469267313399341e-7
msnbc block 278,0.00578992690816604,2652.380375079369,0.005774121558105888,-1.5805350060151685e-5,6.625887292221158e-7
msnbc block 556,0.00501746995562434,3561.4809271188137,0.005032159301520977,1.4689345896636875e-5,7.684852528583685e-7
msnbc block 421,0.00521449981869278,2916.5295860676606,0.005230771294112316,1.627147541953533e-5,7.721830340404602e-7
cnn block 226,0.00138741245908144,5394.8638628965045,0.00137524224401046,-1.2170215070979838e-5,7.990555938154078e-7
msnbc block 800,0.00447279147669117,3107.117859059214,0.004489824099666939,1.7032622975768352e-5,9.014067246861209e-7
cnn block 161,0.00174047213596447,5871.524688316786,0.0017532387546797309,1.2766618715260875e-5,9.56979572274179e-7
cnn block 423,0.00219487648445291,4488.585791338636,0.0021796612037024983,-1.5215280750411914e-5,1.039129013680714e-6
fnc block 497,0.0131878310669751,2021.27456145773,0.013210663820058305,2.283275308320558e-5,1.0537603919892078e-6
msnbc block 393,0.00492451771363894,3002.46818523422,0.0049054465290777425,-1.9071184561197767e-5,1.0920279455521974e-6
msnbc block 633,0.00447070014283603,3020.510229677923,0.004489824099666939,1.9123956830909006e-5,1.104678293227632e-6
cnn block 202,0.00136053345951735,5436.257542489313,0.00137524224401046,1.4708784493110008e-5,1.176125302005568e-6
cnn block 108,0.00139064758580156,6358.532867808778,0.00137524224401046,-1.54053417911e-5,1.5090359877604574e-6
cnn block 85,0.0013580167403507,5448.66617256951,0.00137524224401046,1.722550365976e-5,1.6167172004356568e-6
msnbc block 418,0.00471807565043967,3065.36313044469,0.004741098937788039,2.3023287348368678e-5,1.6248624305918653e-6
msnbc block 279,0.00575303874361064,2660.8208836822364,0.005727586292127283,-2.5452451483357237e-5,1.7237523729720655e-6
cnn block 473,0.0033382411804988,3688.6521145700667,0.003360845642966024,2.260446246722409e-5,1.8847600416023386e-6
msnbc block 618,0.00457467843195413,2980.6952615748505,0.00460000412531907,2.532569336493977e-5,1.91179035269562e-6
cnn block 795,0.00139388131571601,5557.297037126804,0.00137524224401046,-1.86390717055499e-5,1.930688317057653e-6
cnn block 802,0.00139467804968829,5555.711675609695,0.00137524224401046,-1.9435805677829945e-5,2.098673098581604e-6
cnn block 470,0.00264334710287393,4143.793535308262,0.0026208357888990253,-2.25113139749049e-5,2.0999057326034903e-6
cnn block 210,0.00139512888202625,5368.525181124806,0.00137524224401046,-1.9886638015789932e-5,2.1231355963694754e-6
cnn block 678,0.00135386690556705,5413.726594106635,0.00137524224401046,2.1375338443410143e-5,2.473559256044463e-6
msnbc block 620,0.00455559370211083,2986.903610448964,0.00458446134098542,2.8867638874590512e-5,2.489107969792983e-6
cnn block 133,0.00139667353511567,6434.866750340512,0.00137524224401046,-2.1431291105209957e-5,2.9555358327369037e-6
msnbc block 591,0.00445818168335187,3019.099785991072,0.004489824099666939,3.1642416315068485e-5,3.022851048439392e-6
cnn block 585,0.001401070819429,5377.253498092407,0.00137524224401046,-2.582857541853995e-5,3.587248124387067e-6
msnbc block 776,0.00452466346486874,3100.849472001368,0.004489824099666939,-3.483936520180114e-5,3.7637533130474777e-6
cnn block 87,0.00140207391585117,5362.49484226173,0.00137524224401046,-2.6831671840709965e-5,3.860667103073536e-6
cnn block 200,0.00134849575374194,5460.434821582877,0.00137524224401046,2.6746490268520027e-5,3.906257149972369e-6
msnbc block 361,0.0045261716767519,3015.968052325969,0.004489824099666939,-3.6347577084961356e-5,3.984535214047524e-6
cnn block 106,0.00135020873777762,6452.918994546881,0.00137524224401046,2.5033506232840196e-5,4.0438922663916435e-6
