moment,data,data_sd,simulation,distance,sq_diff
fnc block 608,0.00726791561619457,2367.9974903677066,0.007267888672822262,-2.694337230841476e-8,1.7190366754206512e-12
fnc block 544,0.0098478632438667,2565.094914234849,0.00984536367287229,-2.4995709944092975e-6,1.6026341485768297e-8
cnn block 43,0.00115450512200593,5898.461987604979,0.0011512843274036036,-3.2207946023263875e-6,6.118780083614666e-8
cnn block 94,0.00168829740201679,4887.537641109192,0.0016919174492687982,3.6200472520082645e-6,6.40499203238796e-8
fnc block 366,0.00847258442318954,2208.751490137985,0.008478506468225833,5.9220450362926225e-6,7.746227846854489e-8
fnc block 143,0.00426592568222746,3687.272099742925,0.004259759330131721,-6.166352095739007e-6,1.402044588406365e-7
cnn block 626,0.00197809806432547,4535.249249095559,0.0019860105812049785,7.912516879508488e-6,2.839425374444525e-7
fnc block 236,0.00603839078464438,2592.008312216875,0.0060489914146627435,1.0600630018363366e-5,2.9127267486161165e-7
cnn block 81,0.00111575753812528,6010.424918507541,0.001108365455289579,-7.392082835700918e-6,3.2842697956037623e-7
msnbc block 690,0.000922292686619896,6557.768795757934,0.0009151101990960867,-7.1824875238093e-6,3.3830300966680733e-7
cnn block 594,0.00180387245087134,4739.966250374863,0.0018126577133588714,8.785262487531363e-6,3.658345624363584e-7
msnbc block 230,0.00379050143834937,3267.8200342590453,0.003779131646666494,-1.1369791682876162e-5,4.2243816383583255e-7
cnn block 623,0.00112555069454743,5998.797789384132,0.001135263991754545,9.713297207114991e-6,5.659754294638255e-7
msnbc block 481,0.00490616675130245,3300.092219419609,0.004887885208584845,-1.8281542717604564e-5,1.1029396747427437e-6
fnc block 322,0.00659522097689898,2497.4260625758384,0.006573400410931433,-2.1820565967546786e-5,1.1891172007616337e-6
cnn block 608,0.00156518661327797,5088.1427232199485,0.0015496027480749771,-1.5583865202992804e-5,1.2356903378480584e-6
msnbc block 816,0.00292899762724481,3836.640148923085,0.0029474166866979364,1.8419059453126437e-5,1.30162525540926e-6
msnbc block 5,0.0039547336912154,3203.436436460724,0.003932430391481966,-2.2303299733433812e-5,1.5935083840568774e-6
fnc block 758,0.00778056932010086,2366.2901507624733,0.007754524605333544,-2.6044714767315888e-5,1.6051188950022545e-6
cnn block 228,0.00172166774129551,4843.745423589525,0.0017401249073702315,1.84571660747214e-5,1.650104122968886e-6
cnn block 87,0.00140207391585117,5362.49484226173,0.0014215187354366591,1.9444819585489074e-5,2.0275647090732345e-6
cnn block 479,0.00255046897435331,4218.37284675461,0.002528164180032338,-2.230479432097218e-5,2.098656730734048e-6
fnc block 613,0.00845951109792872,2196.212435315105,0.008495230543704827,3.571944577610703e-5,2.8021009009050468e-6
cnn block 557,0.0023115574119988,5239.995669447238,0.0023360901347874675,2.4532722788667312e-5,3.1537149077475125e-6
fnc block 391,0.00844303746462932,2297.1009778332455,0.008480191287287771,3.7153822658451616e-5,3.170933208558859e-6
msnbc block 28,0.0028970915480671,3726.788729768077,0.00286775457168751,-2.9336976379590058e-5,3.2074912169471723e-6
cnn block 733,0.00234439776432231,4284.7456639250895,0.0023169377751105693,-2.745998921174081e-5,3.230916784802197e-6
cnn block 219,0.00154554706874318,5111.831808314892,0.0015170517467594554,-2.849532198372453e-5,4.150722443923646e-6
fnc block 387,0.00925046768534239,2195.454777892948,0.009299508476646966,4.904079130457588e-5,5.280067010328903e-6
cnn block 122,0.00153670868541349,6135.100624306417,0.0015717577798718553,3.504909445836528e-5,7.5365970129505105e-6
cnn block 216,0.000794579234428312,7111.529291381624,0.0007617112436942503,-3.286799073406164e-5,7.682619334741856e-6
fnc block 334,0.00426812475528583,3100.849442997318,0.004318835239458148,5.071048417231751e-5,7.97399932333389e-6
fnc block 5,0.00806262053781263,2248.1952839652226,0.00812345546829266,6.0834930480029026e-5,8.320320671347572e-6
msnbc block 74,0.00282905866573941,3777.825453931123,0.0027816430786852526,-4.7415587054157327e-5,8.493450348831631e-6
cnn block 721,0.00229796250582208,4327.719669255717,0.002253494410423942,-4.446809539813794e-5,8.55768267884653e-6
msnbc block 675,0.000918453792964215,6571.4467483151575,0.0009582376934449668,3.978390048075186e-5,1.0401014758664484e-5
fnc block 312,0.00590434062802052,2621.902857564602,0.005840369339820483,-6.397128820003709e-5,1.0729680483548824e-5
msnbc block 724,0.0037645733581742,3383.702304362655,0.003821779778540026,5.7206420365825666e-5,1.1073417981985351e-5
cnn block 609,0.00182345815413515,4714.662669345409,0.0017704306530974777,-5.302750103767227e-5,1.3257234764186237e-5
cnn block 734,0.00223490475081509,4388.209539528077,0.002291842606089071,5.693785527398094e-5,1.4226221475978533e-5
msnbc block 575,0.0037071035800578,4140.662790466015,0.0036466500765616854,-6.0453503496114835e-5,1.5132574243038701e-5
fnc block 255,0.00772178530099717,2302.330354543064,0.00763998542842711,-8.179987257006006e-5,1.5405396963650162e-5
cnn block 618,0.00221803079737011,4275.634701735719,0.0021576020663424244,-6.042873102768539e-5,1.561304250308248e-5
msnbc block 487,0.00560263442983694,3089.250464577568,0.005674205225774575,7.157079593763521e-5,1.5824311183862e-5
cnn block 75,0.00156053996324077,5083.342316926379,0.001617217156211069,5.6677192970299014e-5,1.63292418899123e-5
msnbc block 423,0.00439401232889131,3175.872454251006,0.004466155701003165,7.214337211185456e-5,1.6529355826549327e-5
cnn block 406,0.00187903837011885,4853.20757359303,0.0018201361274136434,-5.8902242705206626e-5,1.6838078442971713e-5
msnbc block 673,0.000940552667440569,6493.859564804523,0.000993321149806268,5.2768482365699054e-5,1.8082234632687314e-5
msnbc block 102,0.00324872531034606,4164.025518330086,0.0031815741195424575,-6.715119080360262e-5,1.877676709264485e-5
cnn block 621,0.0017726855010134,4781.582287860696,0.0018369975796559694,6.431207864256942e-5,1.9776832146945005e-5
msnbc block 226,0.00355568470389842,3373.60059323334,0.0036334202600349524,7.773555613653244e-5,2.038604996295128e-5
cnn block 369,0.00209605260589498,4426.512674241645,0.0021671848749589993,7.113226906401912e-5,2.2397267510894745e-5
fnc block 770,0.00704490198342146,2488.208649936628,0.007140049609746478,9.514762632501818e-5,2.2525929061317528e-5
fnc block 599,0.00340647682610308,3452.0283454100236,0.003488188291797382,8.171146569430207e-5,2.3048377292247737e-5
fnc block 708,0.00451348161597821,2970.7764380673643,0.0046021556888274,8.867407284918975e-5,2.3359486054451798e-5
cnn block 769,0.00247817751506615,4185.638039186357,0.0024020545804084004,-7.612293465774972e-5,2.4254521688526764e-5
cnn block 103,0.00132445705024311,6515.265697373954,0.001262291865371727,-6.216518487138305e-5,2.517831080897185e-5
cnn block 215,0.000920053047094862,6609.254027403868,0.0008537519931142218,-6.630105398064022e-5,2.9053155538080873e-5
cnn block 135,0.0016181529643995,5978.956446957215,0.0016882283749091891,7.007541050968913e-5,2.9360043252321246e-5
fnc block 47,0.00369316293213031,3302.098966436074,0.003597641513707893,-9.552141842241683e-5,3.0129478231822936e-5
fnc block 422,0.0103337947602212,2077.1274822956566,0.010213269828919925,-0.000120524931301276,3.0172891919226184e-5
cnn block 735,0.00210152491849092,4525.020682682618,0.002019766105399649,-8.175881309127088e-5,3.0247516672837205e-5
msnbc block 677,0.0009825503457326,6353.692233093826,0.0009108676452630173,-7.168270046958283e-5,3.2647872826763394e-5
msnbc block 674,0.00105849063746025,6121.763916379579,0.000984284196829574,-7.420644063067588e-5,3.3710079660755186e-5
fnc block 375,0.00805738995705641,2264.470705882999,0.00793480788730708,-0.00012258206974932913,3.4026760695454594e-5
